bookID,title,authors,isbn
7366,Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,Temple Grandin/Catherine  Johnson,0156031442
7370,God's Covenant with Animals: A Biblical Basis for the Humane Treatment of All Creatures,J.R. Hyland,1930051158
7375,Lafayette,Harlow Giles Unger,0471468851
7388,My Pride and Joy: An Autobiography,George  Adamson,0671624970
7389,Runaways  Vol. 1: Pride and Joy,Brian K. Vaughan/Adrian Alphona,0785113797
7393,Sky's Pride and Joy (Bachelor Gulch #8),Sandra Steffen,0373194862
7400,The Baby Emergency (Tennengarrah Clinic #1),Carol Marinelli,0263181499
7415,The Shaping of America: A Geographical Perspective on 500 Years of History: Volume 2: Continental America  1800-1867,D.W. Meinig,0300062907
7420,The Basic Bakunin,Mikhail Bakunin/Robert M. Cutler,0879757450
7422,Berlioz: Servitude and Greatness  1832-1869 (Volume 2),David Cairns,0520240588
7430,The Nubian Prince,Juan Bonilla/Esther Allen,0805077812
7432,Pardonable Lies (Maisie Dobbs  #3),Jacqueline Winspear,0312426216
7437,Naked Lunch,William S. Burroughs/James Grauerholz/Barry Miles,0802140181
7439,Naked Lunch: The Restored Text,William S. Burroughs,0007204442
7444,The Electric Kool-aid Acid Test/The Kandy Kolored Tangerine Flake Streamline Baby/Radical Chic & Mau Mauing the Flak Catchers,Tom Wolfe,0965079929
7445,The Glass Castle,Jeannette Walls,074324754X
7453,Same Sex in the City,Lauren  Levin/Lauren Blitzer,1416916326
7454,Sex and the City: Kiss and Tell,Amy Sohn/Sarah Jessica Parker,0743456815
7477,Human Traces,Sebastian Faulks,0375502262
7480,The Girl at the Lion d'Or,Sebastian Faulks,0375704531
7482,Human Traces,Sebastian Faulks,0099458268
7493,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,0375705244
7494,Suzanne's Diary for Nicholas,James Patterson,0446611085
7501,Hitler's Willing Executioners: Ordinary Germans and the Holocaust,Daniel Jonah Goldhagen,0349107866
7503,Hitler's Willinge Vollstrecker: Ganz gewöhlnliche Deutsche und der Holocaust,Daniel Jonah Goldhagen,344275500X
7505,Beach Girls,Luanne Rice,0553587242
7510,The Beach House,James Patterson/Peter de Jonge,0446612545
7512,The Beach House (Beach House #1),Mary Alice Monroe,0778322947
7515,The Beach House,James Patterson/Peter de Jonge,0316969680
7520,Path of the Assassin (Scot Harvath  #2),Brad Thor,141651631X
7524,Presidential Assassins (History Makers),Patricia D. Netzley,1560066237
7526,The Blind Side: Evolution of a Game,Michael   Lewis,039306123X
